"ii","rr","Val"
"dwe","USA",1.02017135403207
"dwe","ROW",1.09530833266189
"oil","USA",0.993807855668176
"oil","ROW",1.03406273194555
"gas","USA",1.00747040473984
"gas","ROW",1.05738766694884
"crop","USA",0.0146739163106408
"crop","ROW",0.401573958689827
"live","USA",0.917204785755469
"live","ROW",0.777703500203675
"fors","USA",1.00714637100703
"fors","ROW",0.967350337377499
"food","USA",0.873915171403601
"food","ROW",0.743153707886031
"coal","USA",1.00747040473984
"coal","ROW",1.07441165165814
"roil","USA",0.993807855668176
"roil","ROW",1.01153345687711
"elec","USA",1.00747040473984
"elec","ROW",1.06041000086016
"eint","USA",1.00714637100703
"eint","ROW",1.03692197663129
"othr","USA",0.981608080073751
"othr","ROW",0.966131891972295
"serv","USA",1.01960826885438
"serv","ROW",1.11308824488224
"tran","USA",0.993807855668176
"tran","ROW",1.01239818571676
