"ii","rr","ss","Val"
"oil","ROW","USA",-0.0120319246735494
"oil","ROW","ROW",-0.0486553069709274
"gas","USA","ROW",-8.97602772410187E-5
"gas","ROW","USA",-0.00138586846792335
"gas","ROW","ROW",-0.266917162205309
"crop","ROW","USA",0.000203019221971194
"crop","ROW","ROW",0.000452689724699636
"live","USA","ROW",-2.26286648696918E-7
"live","ROW","USA",-7.55526008189728E-5
"live","ROW","ROW",0.00135053879036562
"food","ROW","USA",0.000280088626807152
"food","ROW","ROW",0.00379765212300891
"coal","USA","ROW",-0.000901039988114295
"coal","ROW","USA",-0.00187821621694208
"coal","ROW","ROW",-0.00440922532363138
"roil","USA","ROW",-0.00416486609997938
"roil","ROW","USA",-0.0483528156359736
"roil","ROW","ROW",-0.0417688684321349
"eint","USA","ROW",-0.0032990027855371
"eint","ROW","USA",-0.00922472232783321
"eint","ROW","ROW",-0.00710892658692399
"othr","USA","ROW",-0.00316253087799971
"othr","ROW","USA",-0.0213028832100671
"othr","ROW","ROW",-0.00810870227499069
