"ff","Dim2","rr","Val"
"lnd","crop","USA",44.1860319640536
"lnd","crop","ROW",489.728715633366
"lnd","live","USA",9.11799821656963
"lnd","live","ROW",165.004526892589
"lab","dwe","USA",4.91697054724404
"lab","dwe","ROW",123.917450639533
"lab","oil","USA",24.394020906698
"lab","oil","ROW",147.883580946153
"lab","gas","USA",10.6613119443743
"lab","gas","ROW",55.4883061738895
"lab","crop","USA",45.5448691205902
"lab","crop","ROW",820.399158856506
"lab","live","USA",12.9112241817232
"lab","live","ROW",358.253763244906
"lab","fors","USA",3.06466906750793
"lab","fors","ROW",73.7963252175517
"lab","food","USA",145.334545303774
"lab","food","ROW",621.832252870007
"lab","coal","USA",9.00440211622004
"lab","coal","ROW",54.378057316057
"lab","roil","USA",6.20512015779681
"lab","roil","ROW",47.8471476056633
"lab","elec","USA",41.6463211527943
"lab","elec","ROW",200.717233886934
"lab","eint","USA",587.356760986935
"lab","eint","ROW",1775.91291450308
"lab","othr","USA",1499.73362623097
"lab","othr","ROW",4365.46456469967
"lab","serv","USA",6367.6288143186
"lab","serv","ROW",12522.7340789189
"lab","tran","USA",250.222478449859
"lab","tran","ROW",1083.39786672329
"cap","dwe","USA",1067.84277713531
"cap","dwe","ROW",2852.04483158185
"cap","oil","USA",72.3579684885516
"cap","oil","ROW",1000.62922136067
"cap","gas","USA",30.3087493641361
"cap","gas","ROW",213.159141135061
"cap","crop","USA",42.0809479102168
"cap","crop","ROW",341.948229971945
"cap","live","USA",12.5626566866209
"cap","live","ROW",185.032710037057
"cap","fors","USA",5.93927695415342
"cap","fors","ROW",72.7747703822475
"cap","food","USA",104.080488617816
"cap","food","ROW",803.811287126918
"cap","coal","USA",9.9659685562841
"cap","coal","ROW",65.9153805795819
"cap","roil","USA",7.25046983120059
"cap","roil","ROW",160.733294620293
"cap","elec","USA",125.870002707992
"cap","elec","ROW",448.033356805585
"cap","eint","USA",294.990866798063
"cap","eint","ROW",1966.86363367733
"cap","othr","USA",366.208459891278
"cap","othr","ROW",3416.48414077639
"cap","serv","USA",1642.813820874
"cap","serv","ROW",9164.58408934608
"cap","tran","USA",114.69936118167
"cap","tran","ROW",1093.22738910557
"fix","oil","USA",53.4216193441981
"fix","oil","ROW",589.338159392939
"fix","gas","USA",5.16612621415911
"fix","gas","ROW",93.6913960562911
"fix","live","USA",1.84627227137193
"fix","live","ROW",72.8976331661292
"fix","fors","USA",1.48864147908831
"fix","fors","ROW",18.3588579295812
"fix","coal","USA",15.579265951215
"fix","coal","ROW",84.8571677135277
"fix","othr","USA",3.26394403362348
"fix","othr","ROW",65.6470699107953
