"ii","jj","rr","ss","Val"
"tran","oil","ROW","USA",12.0293718742316
"tran","oil","ROW","ROW",43.8920764459344
"tran","gas","USA","ROW",0.273674396239803
"tran","gas","ROW","USA",0.921136827761424
"tran","gas","ROW","ROW",9.58040557550499
"tran","crop","USA","ROW",10.8216135660278
"tran","crop","ROW","USA",7.11231478911353
"tran","crop","ROW","ROW",34.5757410166839
"tran","live","USA","ROW",0.513318729465013
"tran","live","ROW","USA",0.797532917367701
"tran","live","ROW","ROW",4.06023394328493
"tran","fors","USA","ROW",0.271562319093326
"tran","fors","ROW","USA",0.062348877127748
"tran","fors","ROW","ROW",2.02322931163834
"tran","food","USA","ROW",5.82133979742358
"tran","food","ROW","USA",6.62348861960485
"tran","food","ROW","ROW",46.7290588266749
"tran","coal","USA","ROW",1.06015627195465
"tran","coal","ROW","USA",0.111197102326027
"tran","coal","ROW","ROW",13.822356812336
"tran","roil","USA","ROW",9.67077334919637
"tran","roil","ROW","USA",4.23229281134292
"tran","roil","ROW","ROW",32.2160587594657
"tran","eint","USA","ROW",22.651435420564
"tran","eint","ROW","USA",24.6928249710962
"tran","eint","ROW","ROW",159.845969058293
"tran","othr","USA","ROW",20.750161200625
"tran","othr","ROW","USA",47.0268022484387
"tran","othr","ROW","ROW",253.643063763169
